season,full_name,personality_type,order,day,total_votes_received,immunity_idols_obtained,immunity_challenge_wins,reward_challenge_wins,is_winner,season_year
40,Natalie Anderson,ESTP,1,2,11,1,3,2,False,2020
40,Amber Mariano,ISFP,2,3,6,0,1,1,False,2020
40,Danni Boatwright,ENFJ,3,6,8,0,1,0,False,2020
40,Ethan Zohn,ISFP,4,9,4,0,1,0,False,2020
40,Tyson Apostol,ESTP,5,11,12,0,3,4,False,2020
40,Rob Mariano,ESTJ,6,14,4,0,2,1,False,2020
40,Parvati Shallow,ENFJ,7,16,8,0,3,1,False,2020
40,Sandra Diaz-Twine,ESTP,8,16,2,0,4,3,False,2020
40,Yul Kwon,INTJ,9,18,3,0,4,4,False,2020
40,Wendell Holland,INFJ,10,21,14,0,4,4,False,2020
40,Adam Klein,ENTP,11,23,15,0,7,4,False,2020
40,Tyson Apostol,ESTP,12,25,12,0,3,4,False,2020
40,Sophie Clarke,INTJ,13,28,6,0,8,8,False,2020
40,Kim Spradlin-Wolfe,INFJ,14,29,9,1,6,5,False,2020
40,Jeremy Collins,ESTJ,15,31,9,1,5,1,False,2020
40,Nick Wilson,ENTP,16,34,8,1,5,5,False,2020
40,Denise Stapley,INFJ,17,36,18,2,6,2,False,2020
40,Ben Driebergen,ESFP,18,37,7,0,7,6,False,2020
40,Sarah Lacina,ENTJ,19,38,2,0,8,8,False,2020
40,Michele Fitzgerald,ESFP,20,39,6,2,5,4,False,2020
40,Natalie Anderson,ESTP,21,39,11,1,3,2,False,2020
40,Tony Vlachos,ESTP,22,39,0,4,9,3,True,2020
39,Ronnie Bardah,ISTP,1,3,7,0,0,0,False,2019
39,Molly Byman,INTJ,2,6,7,0,1,1,False,2019
39,Vince Moua,ENFP,3,8,7,0,1,1,False,2019
39,Chelsea Walker,ENTP,4,11,6,0,1,1,False,2019
39,Tom Laidlaw,ESFJ,5,14,6,0,1,1,False,2019
39,Jason Linden,ENTP,6,16,6,0,4,5,False,2019
39,Jack Nichting,ENFP,7,19,2,0,4,3,False,2019
39,Kellee Kim,INTP,8,22,8,0,4,3,False,2019
39,Jamal Shipman,ENFJ,9,24,6,0,4,3,False,2019
39,Aaron Meredith,ESTJ,10,27,10,2,5,4,False,2019
39,Missy Byrd,INTJ,11,27,6,0,3,5,False,2019
39,Elizabeth Beisel,ENFJ,12,30,8,0,3,5,False,2019
39,Karishma Patel,INFP,13,32,22,0,2,2,False,2019
39,Elaine Stott,ENFP,14,35,8,1,4,5,False,2019
39,Dan Spilo,ENTJ,15,36,5,0,5,7,False,2019
39,Janet Carbin,ENFJ,16,37,9,0,4,4,False,2019
39,Lauren Beck,ENFP,17,38,1,1,6,7,False,2019
39,Noura Salman,ENFP,18,39,6,3,7,5,False,2019
39,Dean Kowalski,ISTP,19,39,5,2,4,3,False,2019
39,Tommy Sheehan,ENFJ,20,39,4,0,5,9,True,2019
38,Reem Daly,ESTP,1,3,4,0,0,0,False,2019
38,Keith Sowell,INFP,2,6,6,0,0,0,False,2019
38,Chris Underwood,ENTP,3,8,9,1,1,3,True,2019
38,Rick Devens,ENTP,4,11,12,4,5,4,False,2019
38,Aubry Bracco,INFJ,5,13,4,0,4,3,False,2019
38,Wendy Diaz,ENFP,6,16,15,0,1,2,False,2019
38,Joe Anglim,ISFP,7,19,6,0,6,4,False,2019
38,Eric Hafemann,ESTP,8,22,8,0,4,4,False,2019
38,Julia Carter,ESFJ,9,23,9,0,6,5,False,2019
38,David Wright,INFP,10,25,12,0,1,1,False,2019
38,Kelley Wentworth,ENTP,11,27,14,0,1,2,False,2019
38,Dan DaSilva,ENTP,12,29,8,0,1,3,False,2019
38,Ron Clark,UNKNOWN,13,31,2,0,6,5,False,2019
38,Aurora McCreary,ISTP,14,34,12,2,8,5,False,2019
38,Victoria Baamonde,INTP,15,36,2,0,4,5,False,2019
38,Lauren O'Connell,ESFP,16,37,11,0,1,5,False,2019
38,Rick Devens,ENTP,17,38,12,4,5,4,False,2019
38,Julie Rosenberg,ENFP,18,39,1,2,8,8,False,2019
38,Gavin Whitson,ISFJ,19,39,0,2,6,6,False,2019
38,Chris Underwood,ENTP,20,39,9,1,1,3,True,2019
37,Pat Cusack,ESTP,1,3,0,0,0,1,False,2018
37,Jessica Peet,ENFP,2,6,5,0,0,1,False,2018
37,Jeremy Crawford,ENFJ,3,9,9,0,2,2,False,2018
37,Bi Nguyen,ISFP,4,10,0,0,1,2,False,2018
37,Natalia Azoqa,ESTJ,5,11,3,0,2,2,False,2018
37,Natalie Cole,ESTJ,6,15,4,0,2,3,False,2018
37,Lyrsa Torres,ISFP,7,17,9,0,1,4,False,2018
37,Elizabeth Olson,ESTP,8,20,13,0,3,3,False,2018
37,John Hennigan,INFJ,9,22,3,0,5,5,False,2018
37,Dan Rengering,ESFP,10,25,5,1,6,5,False,2018
37,Alec Merlino,ESFP,11,28,9,1,5,6,False,2018
37,Carl Boudreaux,ISFJ,12,30,6,0,3,4,False,2018
37,Gabby Pascuzzi,INFP,13,32,2,0,4,6,False,2018
37,Christian Hubicki,ENFP,14,35,18,1,5,6,False,2018
37,Davie Rickenbacker,ENFP,15,36,7,1,4,7,False,2018
37,Alison Raybould,ENFJ,16,37,13,1,6,6,False,2018
37,Kara Kay,ENFJ,17,38,0,1,5,6,False,2018
37,Angelina Keeley,ENTJ,18,39,6,0,2,6,False,2018
37,Mike White,INFP,19,39,1,1,3,9,False,2018
37,Nick Wilson,ENTP,20,39,0,2,3,8,True,2018
36,Stephanie Gonzalez,ESTJ,1,3,8,0,0,1,False,2018
36,Jacob Derwin,INFP,2,6,5,0,0,1,False,2018
36,Morgan Ricke,ENFP,3,9,4,0,2,1,False,2018
36,Brendan Shapiro,ENFJ,4,12,5,0,1,2,False,2018
36,Stephanie Johnson,ENFP,5,14,7,0,1,2,False,2018
36,James Lim,INTJ,6,17,6,0,2,3,False,2018
36,Bradley Kleihege,ENTJ,7,19,8,0,4,3,False,2018
36,Chris Noble,ESTJ,8,22,10,0,6,4,False,2018
36,Libby Vincek,ESFJ,9,25,8,0,3,5,False,2018
36,Desiree Afuye,ESFP,10,27,10,0,4,2,False,2018
36,Jenna Bowman,ISTJ,11,29,3,0,3,4,False,2018
36,Michael Yerger,INFJ,12,29,15,0,2,3,False,2018
36,Chelsea Townsend,ISFP,13,32,5,2,6,5,False,2018
36,Kellyn Bechtold,ESFJ,14,35,8,1,5,3,False,2018
36,Sebastian Noel,ESFP,15,36,5,0,5,6,False,2018
36,Donathan Hurley,ENFP,16,37,11,0,3,6,False,2018
36,Angela Perkins,ISTJ,17,38,3,1,6,5,False,2018
36,Laurel Johnson,INTP,18,39,2,1,5,6,False,2018
36,Domenick Abbate,ESTP,19,39,2,3,8,6,False,2018
36,Wendell Holland,INFJ,20,39,5,2,8,8,True,2018
35,Katrina Radke,ENFP,1,3,5,0,0,1,False,2017
35,Simone Nguyen,INTP,2,6,5,0,1,0,False,2017
35,Patrick Bolton,ESTP,3,8,5,0,1,0,False,2017
35,Alan Ball,ISTP,4,11,2,0,1,2,False,2017
35,Roark Luskin,ENTP,5,14,3,0,3,2,False,2017
35,Alexandrea Elliott,INFJ,6,16,3,0,2,1,False,2017
35,Jessica Johnston,ENFP,7,19,7,0,5,5,False,2017
35,Desiree Williams,ESFJ,8,21,11,1,5,3,False,2017
35,Cole Medders,ISFP,9,24,7,1,6,7,False,2017
35,John Hilsabeck,ISFP,10,27,6,0,2,5,False,2017
35,Joe Mena,ESTJ,11,30,12,0,4,6,False,2017
35,Lauren Rimmer,ISTJ,12,33,3,1,5,4,False,2017
35,Ashley Nolan,ESFP,13,36,8,2,5,6,False,2017
35,Mike Zahalsky,ENFP,14,37,9,0,5,7,False,2017
35,Devon Pinto,INFJ,15,38,2,0,3,6,False,2017
35,Ryan Ulrich,ENFP,16,39,2,0,2,4,False,2017
35,Chrissy Hofbeck,ENTJ,17,39,7,4,6,8,False,2017
35,Ben Driebergen,ESFP,18,39,11,0,4,7,True,2017
34,Ciera Eastin,INFP,1,3,9,0,0,0,False,2017
34,Tony Vlachos,ESTP,2,6,7,0,0,0,False,2017
34,Caleb Reynolds,ESFP,3,9,5,0,0,0,False,2017
34,Malcolm Freberg,ENTP,4,11,5,0,1,2,False,2017
34,James Thomas Jr.,ESTP,5,13,3,0,3,5,False,2017
34,Sandra Diaz-Twine,ESTP,6,16,5,0,1,3,False,2017
34,Jeff Varner,ENFP,7,18,6,0,1,4,False,2017
34,Hali Ford,INFP,8,21,8,0,3,1,False,2017
34,Oscar Lusth,ISFP,9,24,6,0,4,4,False,2017
34,Debbie Wanner,ENTP,10,26,6,1,6,5,False,2017
34,Zeke Smith,INTP,11,29,11,0,4,5,False,2017
34,Sierra Dawn Thomas,ISFJ,12,32,15,0,5,4,False,2017
34,Andrea Boehlke,ENFP,13,33,14,2,6,7,False,2017
34,Michaela Bradshaw,ISTJ,14,35,10,0,1,4,False,2017
34,Cirie Fields,ENFJ,15,36,0,0,4,4,False,2017
34,Aubry Bracco,INFJ,16,37,9,1,2,7,False,2017
34,Tai Trang,INFP,17,38,12,1,6,4,False,2017
34,Troy Robertson,ESFP,18,39,2,1,3,3,False,2017
34,Brad Culpepper,ESTJ,19,39,2,5,10,7,False,2017
34,Sarah Lacina,ENTJ,20,39,3,0,4,6,True,2017
33,Rachel Ako,ENFP,1,4,5,0,0,0,False,2016
33,Mari Takahashi,ESFP,2,7,7,0,1,1,False,2016
33,Paul Wachter,ESTJ,3,10,6,0,1,1,False,2016
33,Lucy Huang,ISTJ,4,12,2,0,1,2,False,2016
